year,code,Finished consultant episodes,Admissions,Male,Emergency,Waiting list,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,FCE Bed Days
2016,B15,439,246,285,228,8,61,61,4,3,36.176,53,323,35,20,14,983
2016,B16,361,218,244,146,38,22,14,7,4,42.065,3,258,41,5,45,1329
2016,B18,1573,1367,1061,178,557,37,22,5,1,45.165,23,949,167,20,1094,1654
2016,B37,6913,5533,3058,2156,2989,22,14,5,1,55.934,856,2129,1932,1881,3211,12529
2017,A15,1719,717,1095,442,186,14,7,22,11,48.115,26,1080,256,257,180,15685
2017,A16,1608,880,1008,492,199,16,7,12,6,43.434,92,1055,207,164,302,8835
2017,A17,415,151,226,99,10,604,7,39,16,40.348,36,276,50,8,19,6019
2017,A18,1104,618,634,270,127,23,8,20,10,43.694,33,769,157,96,242,8721
2017,A19,446,158,287,111,16,31,8,27,14,46.652,34,246,49,72,21,4931
2017,B15,759,448,611,395,27,4,4,4,3,36.935,48,603,47,22,42,1548
2017,B16,286,149,199,111,21,16,10,7,5,43.127,3,133,27,3,28,988
2017,B18,931,778,656,145,424,28,22,5,1,45.416,14,456,87,17,553,1231
2017,B37,6949,5525,3104,2157,3004,26,14,5,1,56.622,802,2175,1888,1947,3229,12705
2018,A15,1759,753,1128,443,227,13,8,19,10,46.313,28,1220,235,208,213,13817
2018,A16,1470,774,938,461,168,15,8,12,6,43.814,75,986,221,138,243,7806
2018,A17,379,143,241,102,15,34,22,32,17,44.624,25,244,67,30,16,4921
2018,A18,817,453,521,252,102,28,14,17,9,46.162,23,550,134,85,114,6309
2018,A19,346,102,217,77,17,16,20,24,15,48.319,12,209,34,59,16,2733
2018,B15,561,337,318,280,31,9,7,4,3,35.276,108,347,61,39,37,1115
2018,B16,335,154,212,120,18,24,19,8,5,45.323,1,232,36,19,19,1218
2018,B18,893,703,594,172,409,29,24,15,2,46.46,6,621,136,17,462,2942
2018,B37,7477,6010,3437,2392,3135,22,14,5,1,56.077,937,2237,2216,1994,3441,12754
2019,A15,1995,793,1479,491,219,9,6,21,11,45.883,22,1418,238,221,214,15633
2019,A16,1386,684,927,429,156,13,7,12,6,44.04,72,924,188,152,183,7218
2019,A17,349,108,232,72,9,12,3,38,21,39.735,23,241,41,10,7,4843
2019,A18,877,422,574,268,89,20,11,16,9,45.279,34,605,104,95,93,5940
2019,A19,475,183,260,127,20,7,6,22,11,43.145,24,325,58,28,36,4057
2019,B15,458,285,236,248,22,8,7,4,3,37.867,76,285,54,41,33,1036
2019,B16,303,145,167,118,12,40,28,6,5,43.885,1,194,31,8,18,893
2019,B18,662,503,456,143,271,30,21,7,2,45.905,14,447,113,10,309,1466
2019,B37,7667,6092,3433,2498,3188,23,14,5,1,57.19,807,2497,2135,2141,3416,14308
2020,A15,1739,585,1216,399,150,15,8,20,10,44.397,22,1254,208,177,122,11855
2020,A16,892,432,597,306,76,13,7,12,6,46.073,48,541,169,92,85,4602
2020,A17,300,108,199,75,6,17,15,29,11,42.685,10,235,28,16,7,3520
2020,A18,831,414,548,272,87,27,16,15,8,42.154,25,623,84,67,76,5836
2020,A19,528,161,363,129,14,18,13,25,14,46.494,12,379,46,70,10,4799
2020,B15,210,112,119,93,12,5,2,4,3,41.277,34,113,37,18,15,488
2020,B16,218,99,160,88,7,49,10,7,5,43.698,0,139,23,7,8,656
